	random	noun/verb	location	#1 String	#2 String	label
1999	disengage	V	3-0	I want to disengage myself from his influence	disengage the gears	T
2000	stabilization	N	1-0	wage stabilization is necessary for industrial peace	stabilization means that the product can be handled under atmospheric conditions	T
2001	cut	V	8-0	We had to lose weight , so we cut the sugar from our diet	cut a ticket	F
2002	catch	V	2-2	do n't catch your meaning	She really caught the spirit of the place in her drawings	F
2005	locus	N	1-4	the locus of points equidistant from a given point is a circle	A circle is the locus of points from which the distance to the center is a given value , the radius .	T
2006	leave	V	3-4	She did n't leave until midnight	The president 's remarks left us speechless	F
2007	work	V	0-2	work one 's way through the crowd	Can you work an electric drill ?	F
2008	know	V	1-3	I know it 's time	I want to know who is winning the game !	T
2009	lot	N	4-0	they were an angry lot	lots of people think so	F
2010	center	N	1-3	Convention center	it is a center 's responsibility to get the football to the quarterback	F
2011	run	V	3-4	let the dogs run free	who are these people running around in the building ?	T
2012	make	V	0-0	make a decision	make a phone call	T
2013	start	V	1-1	I start at eight in the morning	I start my day with a good breakfast	F
2014	line	N	2-6	A dedicated line	the letter consisted of three short lines	F
2015	bed	N	8-1	slices of hard - boiled egg on a bed of spinach	Sea bed , river bed , lake bed	F
2016	build	V	0-0	build a reputation	build detergents	F
2017	stay	V	13-9	We stayed in Hawaii for a week .     I can only stay for an hour .	After the trial period , she was asked to stay on and work full - time .	F
2018	remember	V	2-1	Do you remember that he once loved you ?	I remember the concert clearly , but I ca n't recollect why I was there .	T
2019	wear	N	4-5	the tires showed uneven wear	she bought it for everyday wear	F
2022	life	N	2-1	Get a life .	social life	T
2023	order	N	4-0	The house is in order ; the machinery is out of order .	order ruled in the streets	T
2024	answer	V	0-0	answer the door	answer the telephone	T
2025	life	N	0-5	life depends on many chemical and physical processes	the battery had a short life	F
2028	line	N	1-4	in line with	he got out of line	T
2029	break	V	0-2	break the cycle of poverty	Can you break a hundred - dollar bill for me ?	F
2030	line	N	4-5	they were arrayed in line of battle	I ca n't follow your line of reasoning	F
2031	period	N	2-5	hastened the period of time of his recovery	in England they call a period a stop	F
2032	wall	N	1-1	a wall of prejudice	a wall of smoke	T
2033	face	N	6-3	Put a big sign on each face of the building that can be seen from the road .	Why the sad face ?	F
2034	cut	V	5-0	Cut orders ;    cut a check	Cut the rope	F
2036	support	V	3-2	he does not support his natural children	The scholarship supported me when I was in college	T
2037	picture	N	3-2	she was the picture of despair	the very picture of a modern general	T
2038	lead	N	5-3	they did n't follow our lead	he takes the lead in any group	T
2039	understand	V	1-1	I understand wanting more .	I understand how to do it .	T
2040	side	N	6-2	he had a pain in his side	the Confederate side was prepared to attack	F
2041	life	N	9-6	he could no longer cope with the complexities of life	he lived a long and happy life	F
2042	air	N	5-6	the program was on the air from 9 til midnight	There was a tension in the air which made me suspect an approaching storm .	F
2043	care	V	3-3	I do n't care	I do n't care what he does .	T
2044	voice	N	5-1	the Times is not the voice of New York	the voice of the law	T
2045	work	V	4-5	She knows how to work the system	This old radio does n't work anymore	F
2050	efface	V	0-0	efface the memory of the time in the camps	efface oneself	F
2051	get	V	2-0	We 'll get them !	Get me those books over there , please	F
2052	notice	N	1-3	a notice of sale	He took no notice of the changes , and went on as though nothing had happened .	F
2053	weakness	N	1-1	the weakness of the span was overlooked until it collapsed	his weakness increased as he became older	T
2054	stick	V	0-0	stick some feathers in the turkey before you serve it	Stick around and you will learn something !	F
2055	lift	V	0-1	lift the box onto the table	I lifted the books onto the table .	T
2057	set	V	1-1	To set glass in a sash	To set a precious stone in a border of metal	T
2059	check	N	6-6	he asked the waiter for the check	The tablecloth had red and white checks .	F
2060	air	N	7-6	The flock of birds took to the air .	a smell of chemicals in the air	T
2061	create	V	2-3	You can create the color orange by mixing yellow and red .	The company was created 25 years ago	T
2064	account	N	1-4	An account of a battle .	he gave an inaccurate account of the plot to kill the president	T
2065	drink	N	5-0	Can I buy you a drink ?	drink was his downfall	F
2066	communicate	V	2-3	Do you communicate well with your advisor ?	Many deaf people communicate with sign language .	T
2067	fall	V	1-1	payments fall on the 1st of the month	Night fell	F
2068	apology	N	5-5	he wrote a letter of apology to the hostess	The CEO made a public apology for the scandal , and promised full cooperation with the authorities .	T
2069	touch	V	2-3	Do n't touch my CDs !	She did n't touch her food all night	F
2070	inactivation	N	2-1	the gene inactivation system	thermal inactivation of serum samples	T
2071	land	N	5-6	he built the house on land leased from the city	there 's no work on the land any more	F
2072	acquisition	N	1-1	the acquisition of one company by another	the acquisition of wealth	T
2073	say	V	4-1	What does the law say ?	She said her ` Hail Mary '	F
2074	head	N	1-1	200 head of cattle and 50 head of horses	a head of steam	F
2076	day	N	4-1	every dog has his day	my day began early this morning	F
2077	fly	V	0-5	fly a kite	Lindbergh was the first to fly the Atlantic	F
2078	vermin	N	8-8	boys in the village have probably been shooting vermin	cereals must be protected from mice and other vermin	T
2080	system	N	1-5	the system consists of a motor and a small computer	he bought a new stereo system	T
2081	stay	V	5-2	Wear gloves so your hands stay warm .	We are staying in Detroit	F
2082	business	N	7-3	a small mom - and - pop business	a racially integrated business concern	T
2083	break	V	3-3	I had to break a $ 100 bill just to buy the candy	Did you two break the trolley by racing with it ?	F
2085	operation	N	8-5	they paid taxes on every stage of the operation	they had to consolidate their operations	T
2086	hit	V	2-3	One boy hit the other .	I have to hit the MAC machine before the weekend starts	F
2088	carry	V	1-1	I carry these thoughts in the back of my head	Amanda carried the package from home to New York .	F
2089	miasma	N	1-1	a miasma of cigar smoke	the miasma of the marshes	T
2090	get	V	2-2	We 'll get them !	did you get it ?	F
2091	break	V	0-2	break a promise	The ranks broke	F
2092	course	N	1-3	the course was less than a mile	he took a course in basket weaving	F
2093	snap	V	0-6	snap your fingers	When her baby died , she snapped	F
2094	pursuit	N	1-11	Unremitting pursuit of wealth does n't bring happiness , particularly if successful .	the culprit started to run and the cop took off in pursuit	T
2095	series	N	5-6	the Post Office issued a series commemorating famous American entertainers	his coin collection included the complete series of Indian - head pennies	T
2096	simplify	V	3-3	this move will simplify our lives	We had to simplify the instructions	T
2097	do	V	0-3	do nothing	Will $ 100 do ?	F
2098	sound	V	5-0	Mariners on sailing ships would sound the depth of the water with a weighted rope .	sound the alarm	F
2099	formation	N	1-2	a formation of planes	a defensive formation	T
2100	cut	V	0-0	cut class	cut a dress	F
2101	wander	V	1-4	To wander over the fields	Might her husband be wandering ?	F
2102	pipe	V	0-0	pipe a tune	pipe oil , water , and gas into the desert	F
2103	be	V	4-1	When will the meeting be ?	Why is it so dark in here ?	T
2104	term	N	5-2	He was sentenced to a term of six years in prison .	Near - term , mid - term and long - term goals	T
2105	mouth	N	3-4	he stuffed his mouth with candy	he rode into the mouth of the canyon	F
2106	strike	V	2-0	We will strike a medal in your honour .	strike coins	T
2107	take	V	2-2	I 'll take that plate off the table .	The rapist took his victims in dark alleys .	F
2108	ground	N	2-6	they gained ground step by step	they fought to regain the lost ground	T
2111	call	V	3-0	We could always call on a friend .     The engineer called round whilst you were away .	Call roll	F
2112	state	N	1-2	his state of health	the current state of knowledge	T
2113	fair	N	1-1	book fair	world fair	T
2114	field	N	8-11	the set of all rational numbers is a field	The set of rational numbers , \mathbbQ , is the prototypical field .	T
2115	period	N	2-3	hastened the period of time of his recovery	Picasso 's blue period	T
2116	stuff	N	16-4	He did n't want his pockets to bulge so he was walking around with all his stuff in his hands .	What is all that stuff on your bedroom floor ?	T
2117	port	V	0-11	port a rifle	.. the angelic squadron ... began to hem him round with ported spears . — Milton , Paradise Lost ( 1667 ) , book IV	T
2119	catch	V	0-2	catch the mood	If he catches you on the chin , you 'll be on the mat .	F
2120	book	N	1-5	the book of Isaiah	Many readers find the first book of A Tale of Two Cities to be confusing .	T
2121	run	N	3-0	I have a run in my stocking .	Running is good exercise .	F
2122	sense	N	1-1	a sense of self	a sense of security	T
2123	make	V	0-1	make water into wine	Harry made Sally	F
2124	left	N	2-3	take a left at the corner	jab with your left	F
2125	snow	V	3-2	It started to snow .	It is snowing .	T
2126	clearance	N	2-3	He got clearance to travel to America , even though he had previous links to terrorists	The plane got clearance from air traffic control , and we were off .	T
2127	get	V	3-2	You can not get water out of a stone	the cat got the goldfish	F
2128	development	N	1-5	the development and printing of his pictures took only two hours	after he saw the latest development he changed his mind and became a supporter	F
2130	get	V	2-1	We 'll get them !	He got his arm broken in the scuffle	F
2131	hit	V	2-1	The ball hit the fence .	We hit Detroit by noon	F
2132	quality	N	11-1	This school is well - known for having teachers of high quality .	the quality of students has risen	T
2133	meet	V	3-2	Does this paper meet the requirements for the degree ?	This proposal meets my requirements .	T
2134	stuff	N	4-5	What is all that stuff on your bedroom floor ?	you do n't have the stuff to be a United States Marine	F
2135	time	N	4-3	he waited a long time	he had a time holding back the tears	F
2137	be	V	4-2	When will the meeting be ?	The sky is blue .	T
2138	system	N	3-2	in a static system oil can not be replaced by water on a surface	a vast system of production and distribution and consumption keep the country going	F
2139	strength	N	1-3	the strength of the company 's stock in recent weeks	fatigue sapped his strength	F
2140	number	N	5-7	she preferred the black nylon number	I hope to become one of their number before I die	F
2141	play	V	3-1	Charlie likes to play Mary	Princeton plays Yale this weekend	T
2143	luck	N	4-5	Gilbert had some bad luck yesterday — he got pick - pocketed and lost fifty dollars .	I could n't believe my luck when I found a fifty dollar bill on the street .	T
2144	strike	V	0-2	strike coins	The thought struck terror in our minds	F
2145	boy	N	14-3	The boys were playing kickball in the mud ;    Steve is a boy of 16	she made the boy brush his teeth every night	T
2147	hand	N	3-1	Give him a hand .	Her hands are really strong .	F
2148	lyric	N	1-1	The lyric in line 3 does n't rhyme .	The lyrics were written by the composer .	T
2149	rap	N	4-12	it was a bum rap	You ca n't act irresponsibly and then expect me to take the rap .	T
2150	strike	V	2-1	We must strike the enemy 's oil fields	Panic struck me	F
2153	pull	N	1-1	the pull up the hill had him breathing harder	the pull of the moon	F
2154	leave	V	0-5	leave the flowers that you see in the park behind	Unfortunately , this cleaning product leaves behind a noticeable residue .	T
2155	life	N	4-6	his heroism saved a life	She 's my love , my life .	F
2157	sign	N	4-0	Those clouds show little sign of raining soon .	Signs of disease are objective , whereas symptoms are subjective .	T
2159	clear	V	3-0	The check will clear within 2 business days	clear the leaves from the lawn	F
2160	appeal	V	0-5	appeal to somebody for help	The idea of a vacation appeals to me	F
2163	cube	N	2-2	A stock cube	A sugar cube	T
2165	saving	N	8-3	The shift of the supplier gave us a saving of 10 percent .	there was a saving of 50 cents	T
2166	sake	N	2-3	for the sake of argument	died for the sake of his country	F
2167	hollow	N	7-1	he built himself a cabin in a hollow high up in the Appalachians	The hollow of the hand or of a tree	F
2168	position	N	1-9	what position does he play ?	Stop running all over the field and play your position !	T
2169	wall	N	5-3	his back was to the wall	the container 's walls were blue	F
2170	head	N	1-1	the head of the stairs	the head of the list	T
2172	keep	V	0-2	keep count	The pianist kept time with the metronome	T
2174	take	V	1-4	I take aspirin every day to thin my blood .	Tomorrow the doctor will take the cast off her arm .	F
2175	make	V	0-0	make lead into gold	make clay into bricks	T
2176	hit	V	1-3	I hit the jackpot .	The temperature could hit 110 F tomorrow .	T
2177	break	V	0-5	break cigarette smoking	When news of their divorce broke , ...	F
2178	carry	V	1-2	I carry her image in my mind 's eye	I will carry the secret to my grave	T
2179	give	V	0-4	give a yelp	I 'm going to give my wife a necklace for her birthday .	F
2180	transplant	N	4-6	he had a kidney transplant	a child had a multiple organ transplant two months ago	T
2182	break	V	4-5	The newsman wanted to break a big story , something that would make him famous .	When news of their divorce broke , ...	T
2183	fall	V	4-2	We must stand or fall	The vase fell over and the water spilled onto the table	F
2184	cut	N	4-3	The lawyer took a cut of the profits .	I like the cut of that suit .	F
2186	make	V	3-0	She may not make the grade	make the bed	F
2187	bear	V	0-0	bear a resemblance	bear a signature	T
2188	connect	V	4-2	The new railroad will connect the northern part of the state to the southern part .	Can you connect the two loudspeakers ?	T
2189	rest	N	10-6	The sun sets , and the workers go to their rest .	I need to get a good rest tonight ; I was up late last night .	T
2190	see	V	3-7	I 'll probably see you at the meeting	He is blind -- he can not see	F
2191	tea	N	11-4	Would you be a dear and get me a cup of tea , please ?	Would you like some tea ?	T
2192	make	V	2-1	She 'll make a fine president .	We made it !	F
2193	par	N	0-7	par for this course is 72	He needs to make this shot for par .	T
2194	wall	N	6-5	competition was pushing them to the wall	The wind blew against the walls of the tent .	F
2195	care	V	3-1	I do n't care	We cared about the opera .	T
2196	finish	N	3-5	The car 's finish was so shiny and new .	the boat had a metallic finish	T
2197	shelve	V	0-6	shelve books	The library needs volunteers to help shelve books .	T
2199	end	N	5-1	he came to a bad end	the end of the pier	F
2200	coast	N	1-6	the coast is clear	the children lined up for a coast down the snowy slope	F
2201	call	N	12-4	he heard the phone ringing but did n't want to take the call	I received several phone calls today .	T
2203	touch	N	9-5	Suddenly , in the crowd , I felt a touch at my shoulder .	this dish could use a touch of garlic	F
2204	turn	V	5-18	In Vermont , the leaves turn early	The hillside behind our house is n't generally much to look at , but once all the trees turn it 's gorgeous .	T
2206	formation	N	1-1	the formation of gas in the intestine	the formation of crystals	T
2207	hold	V	1-2	I hold with those who say life is sacred	The bridge held	F
2208	mouth	N	3-3	 Open your mouth and say ' aah ' ,  directed the doctor .	he stuffed his mouth with candy	T
2209	object	N	1-0	the object of my affection	objects of thought	T
2210	play	V	3-1	Charlie likes to play Mary	She played the servant to her husband 's master	F
2211	turn	V	0-1	turn the heat down	She turned to her relatives for help	F
2212	fit	V	4-5	This man ca n't fit himself into our work environment	The small shirt does n't fit me , so I 'll buy the medium size .	F
2213	wash	N	4-7	My jacket needs a wash .	I 'm going to have a quick wash before coming to bed .	T
2214	thing	N	4-6	to say the same thing in other terms	how can you say such a thing ?	T
2215	round	N	4-4	he ordered a second round	They brought us a round of drinks about every thirty minutes .	T
2216	cut	V	0-0	cut a hole	cut class	F
2217	buildup	N	2-4	a military buildup in preparation for the invasion	I envied his rapid buildup of assets	T
2219	plane	N	7-5	any line joining two points on a plane lies wholly on that plane	we will refer to the plane of the graph as the X - Y plane	T
2220	authority	N	2-3	Respect my authority !	she spoke with authority	F
2221	make	V	2-1	She 'll make a fine president .	Wood makes good furniture	F
2222	baseball	N	3-2	there was a baseball game on every empty lot	he played baseball in high school	T
2223	appointment	N	1-4	the appointment had to be approved by the whole committee	He erred by the appointment of unsuitable men .	T
2225	buy	V	4-3	I 'm going to buy my father something nice for his birthday .	This sum will buy you a ride on the train	F
2227	place	N	8-3	Do you want to come over to my place later ?	he lost his place on the page	F
2232	round	V	14-3	The total is $ 25,715 but to keep the figures simple , I 'll round it down to $ 25,000 .	Ninety - five rounds up to one hundred .	T
2234	act	V	3-2	The governor should act on the new energy bill	The nanny acted quickly by grabbing the toddler and covering him with a wet towel	T
2235	shot	N	6-6	he is still recovering from a shot to his leg	I caught him with a solid shot to the chin	T
2236	keep	V	1-0	I keep my specimens under glass to protect them .	Keep on working !	T
2237	get	V	4-2	The operator could n't get Kobe because of the earthquake	Let 's get down to work now	F
2239	choke	V	0-2	choke a carburetor	The pirate choked the sailor to death .	F
2240	say	V	3-1	I can not say ` zip wire '	Please say your name slowly and clearly .	T
2241	hold	V	1-3	To hold true ;    to hold good	Rousseau 's philosophy holds that people are inherently good	F
2244	head	N	1-9	200 head of cattle and 50 head of horses	I could n't get his words out of my head	F
2245	drain	N	1-1	a drain on resources	a drain of young talent by emigration	T
2246	make	V	0-7	make laws	A good review by this critic will make your play !	F
2248	cover	V	0-2	cover your head !	The President covered the fact that he bugged the offices in the White House	F
2249	stir	V	0-0	stir the soup	stir emotions	F
2250	water	N	7-8	first you have to cut off the water	The boat was found in within the territorial waters .	F
2251	tap	V	0-0	tap beer in a bar	Tap an M3 thread all the way through the hole .	F
2252	carry	V	0-1	carry too far	She carries her mother 's genes	F
2253	folk	N	4-0	they 're just country folk	folks around here drink moonshine	T
2254	get	V	2-1	did you get it ?	She got a lot of paintings from her uncle	F
2255	period	N	5-3	in England they call a period a stop	Picasso 's blue period	F
2258	vermin	N	7-3	he examined the child 's head for vermin	Bring these gypsy vermin to the Palace of Justice .	F
2259	basket	N	6-4	The point guard drove toward the basket .	Let 's play some basket .	T
2260	end	N	1-4	the end of the pier	they rode to the end of the line	T
2261	submission	N	1-5	his submission to the will of God	the union was brought into submission	T
2262	play	V	0-0	play fair	play it safe	T
2263	go	V	4-2	Ready , set , go !	Can I go now ?	F
2264	form	N	9-5	To apply for the position , complete the application form .	he filled out his tax form	T
2265	show	V	4-4	The dirty side will show	His good upbringing really shows	T
2266	course	N	1-3	the course of the river	he took a course in basket weaving	F
2267	light	N	4-12	do you have a light ?	Cigarette in mouth , he clutched his pockets in search of a lighter .	T
2268	run	V	2-0	I will run the sample .	run a new program on the Mac	T
2269	principle	N	2-1	Bernoulli 's principle ;     The http://en.wikipedia.org/wiki/Pauli_exclusion_principle Pauli Exclusion Principle prevents two fermions from occupying the same state .     The principle of the internal combustion engine	the principles of democracy	T
2270	difference	N	1-8	the difference in her is amazing	It just wo n't make much of a difference to anyone .	T
2271	take	V	4-1	This surface will not take the dye	He took off his shoes .	F
2272	drill	V	0-0	drill a hole into the wall	drill for oil	T
2273	head	N	6-6	At five years of age this head of cattle is worth perhaps $ 40	A reduction in the assessment per head of sheep	T
2274	make	V	0-2	make merry	He will make a splendid father !	F
2275	set	V	0-1	set a record	To set pear trees in an orchard	F
2277	keep	V	2-2	Can I keep my old stuffed animals ?	she never keeps her promises	F
2278	hold	V	1-1	To hold true ;    to hold good	They held on the road and kept marching	T
2279	end	N	5-10	he came to a bad end	the so - called glorious experiment came to an inglorious end	T
2280	follow	V	1-2	Please follow the guide through the museum	The ducklings followed their mother around the pond	T
2281	point	N	3-4	he stuck the point of the knife into a tree	he knows my bad points as well as my good points	F
2282	light	N	4-4	he finally saw the light	he stepped into the light	F
2283	catch	V	3-2	I did n't catch your name	One foot caught in the stirrup	F
2284	break	V	2-0	Kids were break - dancing at the street corner	break a promise	F
2285	job	N	1-8	the job of repairing the engine took several hours	estimates of the city 's loss on that job ranged as high as a million dollars	T
2286	prise	V	10-11	1919 : I think he must have been trying to prise open that box yonder when he was attacked . — Sax Rohmer , The Quest of the Sacred Slipper	C. 1925 : Come , force the gates with crowbars , prise them apart ! — Jack Lindsay , translation of Lysistrata	T
2287	work	V	4-1	This dough does not work easily	They worked on her to join the group .	F
2288	make	V	0-1	make a fire	She made 29 points that day	F
2289	line	N	1-1	the line of soldiers advanced with their bayonets fixed	in line with	F
2290	reticulation	N	1-1	the reticulation of a leaf	the reticulation of a photographic emulsion	T
2291	conceive	V	7-2	Assisted procreation can help those trying to conceive .	The racist conceives such people to be inferior	F
2292	store	V	0-2	store grain for the winter	The bear stores fat for the period of hibernation when he does n't eat	T
2293	authority	N	2-3	Respect my authority !	I have the authority to penalise the staff in my department , but not the authority to sack them .	T
2294	declare	V	0-2	declare dividends	The President declared war	F
2295	roam	V	2-2	The cattle roam across the prairie	The gypsies roamed the woods	T
2296	come	V	3-1	your wish will come true	Next came the student from France	F
2297	taproot	N	1-7	the taproot of his resentment	genius and insanity spring from the same taproot	T
2299	come	V	0-0	come down here !	come into contact with a terrorist group	F
2300	place	N	8-1	Do you want to come over to my place later ?	your place or mine ?	T
2301	spring	N	3-6	I spent my spring holidays in Morocco .	he will hold office until the spring of next year	T
2303	business	N	3-2	a racially integrated business concern	We do business all over the world .	F
2305	home	N	9-5	the teacher asked how many people made up his home	deliver the package to my home	F
2306	face	N	1-6	the face of the city is changing	He managed to show a bold face despite his embarrassment .	T
2308	carry	V	7-2	he had drunk more than he could carry	I will carry the secret to my grave	F
2309	chain	N	6-1	The third link of the silver chain needs to be resoldered .	the chain of command	T
2310	game	N	5-7	I saw through his little game from the start	you need four people to play this game	F
2311	furniture	N	3-2	A chair is furniture . Sofas are also furniture .	How much furniture did they leave behind ?	T
2312	enable	V	3-2	This skill will enable you to find a job on Wall Street	The rope enables you to secure yourself when you climb the mountain	T
2313	baby	N	6-8	it was great to feel my baby moving about inside	I felt healthy and very feminine carrying the baby	T
2314	give	V	0-0	give thought to	give priority to	T
2315	head	N	1-1	the head of the page	the head of the list	T
2317	catch	V	2-1	did you catch a cold ?	I caught some Z 's on the train .	F
2318	follow	V	2-3	Can you follow her argument ?	A terrible tsunami followed the earthquake	F
2319	pay	V	0-3	pay up , please !	She offered to pay the bill ;    he has paid his debt to society	T
2320	cup	N	6-7	put the flag back in the cup	he swore as the ball rimmed the cup and rolled away	T
2321	develop	V	1-1	Please develop this roll of film .	Please develop this roll of film for me	T
2322	life	N	3-5	pottery was his life	he appointed himself emperor for life	F
2323	cycle	N	9-4	"The "" Ring of the Nibelung "" is a cycle of four operas by Richard Wagner , the famous nineteenth - century German composer ."	a year constitutes a cycle of the seasons	F
2324	death	N	6-3	England scored a goal at the death to even the score at one all .	it was the death of all his plans	F
2325	rub	V	0-0	rub my hands	rub oil into her skin	T
2326	hold	V	0-5	hold these truths to be self - evident	About a dozen animals were held inside the stockade	F
2327	anger	V	1-1	You anger too easily .	He angers easily	T
2328	day	N	4-4	she called it a day and went to bed	it was a busy day on the stock exchange	T
2329	catch	N	7-2	it sounds good but what 's the catch ?	he played catch with his son in the backyard	F
2331	kill	V	0-4	kill a motion	These new shoes are killing me !	F
2332	keep	V	1-0	I keep a small stock of painkillers for emergencies .	Keep smiling	F
2333	smile	N	5-3	She 's got a perfect smile .	She had a smile on her face .	T
2334	loan	N	3-1	He got a loan of five thousand pounds .	All loans from the library , whether books or audio material , must be returned within two weeks .	T
2335	catch	V	0-1	catch one 's breath	I caught some Z 's on the train .	T
2336	leave	N	4-3	The applicant now seeks leave to appeal and , if leave be granted , to appeal against these sentences .	she was granted leave to speak	T
2337	raise	V	0-0	raise Cain	raise the roof	T
2338	line	N	12-2	The answer to the comprehension question can be found in the third line of the accompanying text .	a nice line of shoes	F
2339	carry	V	9-2	She always carries a purse ;    marsupials carry their young in a pouch	I am carrying his child	F
2340	convert	V	2-1	Could you convert my dollars into pounds ?	Smith converted and his team won	F
2341	facelift	N	4-3	give your home a facelift	more than a facelift , the new model marks a fundamental change of direction	T
2343	make	V	1-6	They make a cute couple	One swallow does not a summer make	T
2345	play	V	14-2	I 've practiced the piano off and on , and I still ca n't play very well .	Can you play on this old recorder ?	T
2346	make	V	0-1	make a phone call	They make a cute couple	F
2349	work	V	0-3	work stone into tools	He could not work the math problem	F
2350	field	N	11-0	The set of rational numbers , \mathbbQ , is the prototypical field .	Field of view	F
2351	fabric	N	1-5	The fabric of our lives	it is part of the fabric of society	T
2352	set	V	1-2	To set glass in a sash	the sun sets early these days	F
2353	make	V	2-0	Do n't make this into a big deal	Make yourself clear	T
2354	shame	N	13-3	When I realized that I had hurt my friend , I felt deep shame .	one mistake brought shame to all his family	T
2355	pull	V	6-2	You 're going to have to pull harder to get that cork out of the bottle .	The athlete pulled a tendon in the competition	F
2356	make	N	1-1	what make of car is that ?	What make of car do you drive ?	T
2357	grade	N	0-4	grade A milk	He got a good grade on the test .	T
2358	run	N	5-5	the play had a long run on Broadway	the team enjoyed a brief run of victories	T
2360	voice	N	1-3	the voice of experience	he said his voices told him to do it	T
2361	grow	V	4-5	her hair does n't grow much anymore	In these forests , mushrooms grow under the trees	T
2362	opening	N	4-6	He slipped through an opening in the crowd .	A salamander darted out of an opening in the rocks .	T
2363	chance	N	3-3	you take a chance when you let her drive	We had the chance to meet the president last week .	F
2364	treatment	N	11-1	The change is due largely to the increased availability of antiretroviral treatment .	A treatment or cure is applied after a medical problem has already started .	T
2365	curmudgeon	N	14-4	John Doe 's old age and stubborn aversion to new ideas make him a curmudgeon of a candidate .	There 's a cranky curmudgeon working at the hospital who gives all the patients and other doctors flak .	T
2368	rearrange	V	1-0	Please rearrange these files	rearrange the furniture in my room	T
2369	art	N	6-3	he said that architecture is the art of wasting space beautifully	How great thou art !	F
2370	resistance	N	1-1	The resistance of bacteria to certain antibiotics	Widespread resistance to the new urban development plans	T
2371	cover	V	0-9	cover her face with a handkerchief	Count the cash in the drawer twice just to cover yourself	F
2373	practice	N	3-4	It is good practice to check each door and window before leaving .	It is the usual practice of employees there to wear neckties only when meeting with customers .	T
2374	give	V	0-1	give one 's talents to a good cause	what gives ?	F
2375	work	V	7-1	this unpleasant situation is n't going to work itself out	John worked with Paul at finishing the task .	F
2377	life	N	13-1	it was a heavy play and the actors tried in vain to give life to it	The life of this milk carton may be thousands of years in this landfill .	F
2379	drink	N	5-5	Can I buy you a drink ?	I asked for a hot drink	T
2380	work	V	0-2	work the metal	The salesman works the Midwest	F
2381	plundering	N	1-1	the plundering of the Parthenon	his plundering of the great authors	T
2382	make	V	0-1	make love , not war	We made for the mountains	F
2384	air	N	1-5	an air of mystery	the program was on the air from 9 til midnight	F
2385	spring	N	8-3	the emerging buds were a sure sign of spring	I spent my spring holidays in Morocco .	T
2386	score	N	5-2	The player with the highest score is the winner .	the winning score came with less than a minute left to play	T
2387	set	V	0-2	set a broken bone	The moon sets at eight o'clock tonight .	F
2388	stabilization	N	0-4	stabilization means that the product can be handled under atmospheric conditions	he worked for price stabilization for farm products	T
2389	mince	V	5-0	Butchers often use machines to mince meat .	mince the garlic	T
2391	think	V	0-4	think thin	Idly , the detective thought what his next move should be .	T
2392	carry	V	0-2	carry scars	This rifle carries for 3,000 feet	F
2393	arouse	V	0-1	arouse pity	To arouse compassion	T
2394	stick	N	6-6	the policy so far is all stick and no carrot	fever left him weak on his sticks	F
2395	opening	N	1-1	the opening received good critical reviews	the opening established the basic theme	F
2399	draw	V	0-0	draw parallels	Draw me a horse	F
2400	cut	V	0-0	cut from one scene to another	Cut the rope	F
2401	run	N	6-4	The bus on the Cherry Street run is always crowded .	the ship made its run in record time	T
2402	rub	V	0-1	rub my hands	I rubbed my hands together for warmth .	T
2403	nick	N	4-9	he 's in the nick	He was arrested and taken down to Sun Hill nick police station to be charged .	T
2404	turn	V	0-0	turn the car around	turn your face to the wall	T
2405	permit	V	2-1	This will permit the rain to run off	This permits the water to rush in	T
2408	count	V	2-2	Can you count the books on your shelf ?	I can count my colleagues in the opposition	F
2409	raise	V	0-0	raise the question of promotions	raise from the dead	F
2410	stick	V	0-0	stick the photo onto the corkboard	stick some feathers in the turkey before you serve it	F
2412	sanitize	V	0-0	sanitize history	sanitize a document before releasing it to the press	T
2413	make	V	3-1	He did n't make the choir after his voice changed .	She makes more than he does , and works longer hours than he does , but she still does most of the house - cleaning .	T
2414	mechanism	N	1-1	the mechanism of the ear	the mechanism of infection	T
2415	play	V	0-0	play safe	play fair	T
2416	scratch	V	2-2	Do n't scratch your insect bites !	the lovers scratched their names into the bark of the tree	F
2417	think	V	1-1	I think she is pretty , contrary to most people .	I think that he is her boyfriend	T
2419	drift	V	0-2	drift the cattle herds westwards	the laborers drift from one town to the next	F
2421	practice	N	3-3	It is good practice to check each door and window before leaving .	it is their practice to give annual raises	T
2422	line	N	2-2	A shared line	A dedicated line	T
2423	pull	V	0-0	pull your knees towards your chin	pull the string gently	T
2424	carry	V	2-2	Do you carry kerosene heaters ?	The jar carries wine	F
2425	presence	N	6-4	Any painter can benefit from the presence of a live model from which to draw .	he tested for the presence of radon	T
2426	give	V	0-6	give thought to	On entering the house , he gave his coat to the doorman .	F
2427	pass	V	0-1	pass along the good news	She passed the new Jersey Bar Exam and can practice law now	F
2428	fix	V	0-2	fix breakfast for the guests , please	I was fixing to leave town after I paid the hotel bill	F
2429	end	N	3-1	she knotted the end of the thread	the ends justify the means	F
2430	work	V	4-2	How does your idea work in practice ?	A ship works in a heavy sea .	F
2431	product	N	18-1	That store offers a variety of products .    We 've got to sell a lot of product by the end of the month .	the product of 2 and 3 is 6	F
2432	drive	V	1-0	We drive the turnpike to work	drive the forest	F
2433	search	N	4-2	the outcome justified the search	a thorough search of the ledgers revealed nothing	T
