random	noun/verb	location	#1 String	#2 String
hit	V	1-3	We hit Detroit by noon	I have to hit the MAC machine before the weekend starts
drive	V	2-0	Can you drive this four - wheel truck ?	drive the game
stomach	N	5-2	exercise gave him a good stomach for dinner	A good stomach for roast beef
fit	N	1-3	a fit of coughing	I admired the fit of her coat
dress	V	0-2	dress the patient	He was dressed in the latest fashions .
make	V	1-3	To make like a deer caught in the headlights .	He did n't make the choir after his voice changed .
break	V	4-2	The newsman wanted to break a big story , something that would make him famous .	The figurine broke
clarify	V	0-0	clarify beer	clarify the butter
streak	N	7-2	I hope I can keep up this streak of accomplishments .	had a streak of bad luck
empathize	V	4-4	You really have to empathize .	You really have to empathize with their doing it .
take	V	4-3	Tomorrow the doctor will take the cast off her arm .	I do n't take sugar in my coffee
rest	N	14-5	Now that we 're all in agreement , we can put that issue to rest .	The ocean was finally at rest .
run	N	9-0	she broke the record for the half - mile run	Running is good exercise .
chain	N	1-1	A chain of ideas , one leading to the next	the chain of command
keep	V	0-0	keep my job for me while I give birth	keep a diary
puddle	V	0-0	puddle iron	puddle young plants
play	V	4-0	She acts in this play	play safe
go	V	2-1	We should go farther in this matter	She went through a lot of trouble
break	V	6-3	This play will either make or break the playwright	His peccadilloes finally broke his marriage
land	N	2-5	an industrialized land	They come from a faraway land .
think	V	1-0	I think he is very smart	Think what a scene it must have been !
catch	V	3-0	ears open to catch every sound	Catch a glimpse
mean	V	9-8	The sky is red this morning — does that mean we 're in for a storm ?	An example sentence would show what this word means
kill	V	0-2	kill a motion	The farmer killed a pig for the holidays
take	V	2-1	I 'll take the blue plates .	She took her seat on the stage
case	N	5-2	it may rain in which case the picnic will be canceled	The accusative case canonically indicates a direct object .    Latin has six cases , and remnants of a seventh .
pull	V	0-0	pull the string gently	pull the trigger of the gun
thing	N	6-3	I could n't tell what the thing was	she has a thing about him
pull	V	7-1	You 'll be sent home if you pull another stunt like that .	I pulled a muscle in my leg when I jumped up
opener	N	5-3	she played Chopin for her opener	the season 's opener was a game against the Yankees
lunchtime	N	4-3	he observed a regular lunchtime	It 's almost lunchtime , so I think I 'll finish up later this afternoon .
work	V	0-0	work the metal	Work out your problems with the boss
go	V	5-5	The washing machine wo n't go unless it 's plugged in	These ugly billboards have to go !
turn	V	0-1	turn the clay on the wheel	Ivory turns well .
third	N	2-3	a distant third	Jones came in third .
do	V	3-5	All you ever do is surf the Internet ;    what will you do this afternoon ?	A ' B ' grade does n't suffice to get me into medical school
make	V	0-0	make enemies	make up a room
burn	V	0-2	burn garbage	She was burning with anger
court	N	5-1	players had to reserve a court in advance	pay court to the emperor
prise	V	16-10	2004 : Most people used pliers , scissors , rubber gloves and knives to try to prise open products . — BBC News	1919 : I think he must have been trying to prise open that box yonder when he was attacked . — Sax Rohmer , The Quest of the Sacred Slipper
throat	N	1-1	the throat of the vase	the throat of a chimney
dullness	N	3-3	there was a dullness in his heart	without him the dullness of her life crept into her work no matter how she tried to compartmentalize it .
allow	V	0-2	allow for mistakes	The evidence allows only one conclusion
office	N	2-2	being in office already gives a candidate a great advantage	the whole office was late the morning of the blizzard
draw	V	0-1	draw a conclusion	I draw a line here
light	N	2-1	Put that light out !	the light of my life
time	N	4-7	When was the last time we went out ? I do n't remember .	Okay , but this is the last time . No more after that !
break	V	2-4	Nobody can break out -- this prison is high security	The first winter storm broke over New York
canvas	N	5-2	the movie demanded a dramatic canvas of sound	the crowded canvas of history
bounce	V	0-3	bounce a check	The rubber ball bounced
deal	N	7-5	he 's a master of the business deal	We need to finalise the deal with Henderson by midnight .
make	V	0-1	make one 's way into the forest	Harry made Sally
retrograde	V	0-0	retrograde arguments	retrograding planets
quarter	N	3-1	it 's a quarter til 4	a quarter after 4 o'clock
yes	N	3-5	Was that a yes ?	I was hoping for a yes
ski	V	3-4	We love to ski the Rockies	My children do n't ski
tip	V	2-0	Remember to tip the waiter	tip the screen upward
feel	V	2-2	The sheets feel soft	The ground feels shaky
session	N	6-2	" Are we having a recording session ? " / " Yes . We 've even got some session musicians to provide some brass . "	a gossip session
cover	N	1-3	the cover concealed their guns from enemy aircraft	they made a cover of a Beatles ' song
serve	V	1-2	They serve a restricted role on the bench .	The minister served the King for many years
work	V	4-3	She knows how to work the system .	Is your husband working again ?
affinity	N	2-1	James 's affinity with Sam	an affinity for politics
space	N	5-1	the astronauts walked in outer space without a tether	the space between his teeth
make	V	2-4	We should make Cincinnati by 7 tonight .	How much do you make a month in your new job ?
sex	N	2-10	they had sex in the back seat	( The believers ... those ... ) who abstain from sex
make	V	3-6	He did n't make the choir after his voice changed .	You have to spend money to make money !
tell	V	3-0	I want to tell a story ;    I want to tell you a story .	Tell what happened
kid	N	3-3	She 's a kid . It 's normal for her to have imaginary friends .	they 're just kids
work	V	3-0	He could not work the math problem	Work out your problems with the boss
application	N	1-6	the application of maximum thrust	massage has far - reaching medical applications
mark	V	2-2	The citizens mark the anniversary of the revolution with a march and a parade	This sign marks the border
run	V	6-2	My computer is too old to run the new OS .	I will run the sample .
movement	N	4-8	he had a bowel movement	it was an expensive watch with a diamond movement
credit	N	4-12	That engineer is a credit to the team .	If you do not come to class , you will not get credit for the class , regardless of how well you do on the final .
floor	N	8-5	we spread our sleeping bags on the dry floor of the tent	The room has a wooden floor .
emission	N	1-1	The emission of heat from a fire	The emission was mostly blood
twinkle	N	4-9	there 's a perpetual twinkle in his eyes	He was a rotund , jolly man with a twinkle in his eye .
come	V	3-2	Nothing good will come of this	The bill came to $ 2,000
game	N	7-7	he thought of his painting as a game that filled his empty time	Being a child is all fun and games .
take	V	3-1	I do n't take sugar in my coffee	We took our seats in the orchestra
third	N	4-3	it contains approximately a third of the minimum daily requirement	He ate a third of the pie . Divided by two - thirds .
stretch	V	2-0	I always stretch my muscles before exercising .	Stretch your legs !
camp	N	10-5	city kids get to see the country at a summer camp	the living room was pure camp
day	N	3-2	he deserves his day in court	in the days of sailing ships
rise	V	0-2	rise to a challenge	The building rose before them
practice	N	6-11	a hard theory to put into practice	That may work in theory , but will it work in practice ?
bank	N	6-5	he cashed a check at the bank	he tried to break the bank at Monte Carlo
action	N	11-2	the United Nations must have the power to propose and organize action without being hobbled by irrelevant issues	recent federal action undermined the segregationist position
pursuit	N	1-1	the pursuit of love	Unremitting pursuit of wealth does n't bring happiness , particularly if successful .
fish	N	5-10	the shark is a large fish	in the living room there was a tank of colorful fish
remove	V	0-1	remove a threat	He removed the marbles from the bag .
see	V	3-2	How nice to see you again !	You 'll see a lot of cheating in this school
use	V	0-3	use your head !	I ca n't use this tool
side	N	7-1	The patient was bleeding on the right side .	Which side of the tray shall I put it on ?
keep	V	2-2	I always keep batteries in the freezer	The pianist kept time with the metronome
shoot	V	0-0	shoot craps	shoot a movie
get	V	3-0	What do you get when you add up these numbers ?	get nauseous
round	V	0-14	round off the amount	The total is $ 25,715 but to keep the figures simple , I 'll round it down to $ 25,000 .
summit	N	9-10	the region is a few molecules wide at the summit	In summer , it is possible to hike to the summit of Mt. Shasta .
draw	V	8-0	Draw water from a well ;    draw water for a bath ;    the wound drew blood	Draw me a horse
throw	N	5-7	the catcher made a good throw to second base	he could n't afford $ 50 a throw
heart	N	5-0	you have n't got the heart for baseball	hearts were trumps
head	V	0-2	head the fish	This student heads the class
load	N	7-6	The truck overturned while carrying a full load of oil .	the system broke down under excessive loads
grip	N	4-11	they kept a firm grip on the two top priorities	it was an old briefcase but it still had a good grip
wash	V	3-2	he managed to wash out the stains	Can you wash away the spots on the windows ?
cut	V	2-2	The boat cut the water	If you cut then I 'll deal .
year	N	2-2	in the year 1920	This Chinese year is the year of the Rooster .
see	V	3-3	I want to see whether she speaks French	I went to see my friend Mary the other day
be	V	2-1	I shall be writing to you soon .	He is a herpetologist
orbit	N	3-3	The Moon 's orbit around the Earth takes nearly one month to complete .	he plotted the orbit of the moon
carnival	N	15-2	We all got to ride the merry - go - round when the brought their carnival to town .	When the carnival came to town , every one wanted some cotton candy .
work	V	2-1	I will work hard to improve my grades	They worked on the task .
horizon	N	4-13	It is beyond the horizon of present knowledge	Some students take a gap year after finishing high school to broaden their horizons .
follow	V	2-7	Can you follow her argument ?	When he lectures , I can not follow
degree	N	4-3	murder in the second degree	there are 360 degrees in a circle
turn	V	0-0	turn the flour onto a plate	Turn towards me
communicate	V	12-2	I feel I hardly know him ; I just wish he 'd communicate with me a little more .	Do you communicate well with your advisor ?
fatigue	N	6-13	the American public is experiencing scandal fatigue	after watching TV with her husband she had a bad case of football fatigue
cover	V	4-2	Is this enough to cover the check ?	This paint covers well
streak	N	7-5	I hope I can keep up this streak of accomplishments .	I was on a winning streak until the fourth game , where I was dealt terrible cards .
admit	V	3-2	We can not admit non - members into our club building	They were admitted into his house .
tramp	N	2-1	a homeless tramp	the tramp of military boots
head	N	5-10	the beer had a large head of foam	Pour me a fresh beer ; this one has no head .
shrinkage	N	8-0	the material lost 2 inches per yard in shrinkage	shrinkage is the retail trade 's euphemism for shoplifting
work	V	0-2	work the body onto the flatbed truck	She was working on her second martini when the guests arrived
light	N	3-10	follow God 's light	Magoon 's governorship in Cuba was viewed in a negative light by many Cuban historians for years thereafter .
run	V	4-1	The crowd had to run away from the burning structure with only the clothes on their backs .	She ran her fingers along the carved figurine
carry	V	1-2	I carry a lot of life insurance	I will carry the secret to my grave
light	N	10-1	Magoon 's governorship in Cuba was viewed in a negative light by many Cuban historians for years thereafter .	the light of my life
shed	V	3-2	I did n't shed many tears when he left me .	our dog sheds every Spring
slip	N	4-8	he 's a mere slip of a lad	She could n't hurt a fly , young slip of a girl that she is .
subscription	N	2-6	My library subscription is about to expire .	the deed was attested by the subscription of his signature
acknowledge	V	2-1	* I acknowledge my transgressions . - Psalm 51:3 .	She acknowledged that she might have forgotten
bed	N	7-8	he searched for treasure on the ocean bed	There 's a lot of trash on the bed of the river .
spring	N	3-6	I spent my spring holidays in Morocco .	You can visit me in the spring , when the weather is bearable .
concatenation	N	6-2	it was caused by an improbable concatenation of circumstances	a complicated concatenation of circumstances
sale	N	8-3	I got some great bargains at their annual sale	they held a sale to reduce their inventory
masquerade	N	5-1	I was invited to the masquerade at their home .	That masquerade of misrepresentation which invariably accompanied the political eloquence of Rome - Thomas de Quincey
support	N	6-3	the statue stood on a marble support	The government provides support to the arts in several ways .
mouth	N	6-3	they built a fire at the mouth of the cave	he stuffed his mouth with candy
leave	V	3-2	She did n't leave until midnight	The ship leaves at midnight
roll	V	0-1	roll a cigarette	They rolled from town to town
lift	V	0-0	lift an embargo	lift potatoes
waste	N	3-6	much of the waste material is carried off in the sewers	a life characterized by thriftlessness and waste
seize	V	4-1	Birds of prey often seize small mammals	To seize smuggled goods
cut	V	3-0	she could not cut the long days in the office	cut bourbon
break	V	4-4	The newsman wanted to break a big story , something that would make him famous .	News of her death broke in the morning
solution	N	1-7	the solution took three hours	they were trying to find a peaceful solution
narrowness	N	8-7	the attraction of the book is precisely its narrowness of focus	the problem with achievement tests is the narrowness they impose on students
speech	N	1-7	her speech was barren of southernisms	I detected a slight accent in his speech
courage	N	5-5	It takes a lot of courage to be successful in business .	" A great part of courage is the courage of having done the thing before . " —Ralph Waldo Emerson
rate	N	1-5	The rate of production at the factory is skyrocketing .	he works at a great rate
flare	N	3-5	he threw a flare to the fullback who was tackled for a loss	infection can cause a lupus flare
reaction	N	8-9	The announcement of the verdict brought a violent reaction .	You were in the courtroom . What is your reaction ?
break	V	2-8	Let 's break for lunch .	My daughter 's fancy wedding is going to break me !
carry	V	1-4	I carry her image in my mind 's eye	How many people are carried on the payroll ?
accept	V	3-1	I can not accept your invitation	We accept the idea of universal health care
land	N	5-4	They come from a faraway land .	he returned to the land of his birth
extend	V	0-0	extend the casserole with a little rice	extend my greetings
shuffle	V	0-1	shuffle the cards	I shuffled my feet in embarrassment .
day	N	14-5	Day and night ;    I work at night and sleep during the day .	the dawn turned night into day
cut	V	0-0	cut class	cut a caper
intermingle	V	3-5	We do n't intermingle much	The yolks and the whites intermingled .
take	V	4-1	This surface will not take the dye	We take all major credit cards .
structure	N	4-4	artists must study the structure of the human body	his lectures have no structure
line	N	1-4	the line stretched clear around the corner	he got out of line
replace	V	0-3	replace the book on the shelf after you have finished reading it	the insurance will replace the lost income
fit	V	4-5	How does this shirt fit ?	The small shirt does n't fit me , so I 'll buy the medium size .
shed	V	0-1	shed your clothes	he shed his image as a pushy boss
check	V	0-0	check the brakes	Check the oil in your car once a month .
head	N	5-5	the beer had a large head of foam	Admission is three dollars a head .
check	V	0-0	check into the rumor	check the time of the class
rebellion	N	6-4	each generation must have its own rebellion	his body was in rebellion against fatigue
control	N	1-3	the control condition was inappropriate for the conclusions he wished to draw	I turned the controls over to her
study	N	9-4	he knocked lightly on the closed door of the study	he is a quick study
meet	V	4-3	The company agrees to meet the cost of any repairs .	Does this paper meet the requirements for the degree ?
range	V	2-2	My students range from very bright to dull	The instruments ranged from tuba to cymbals
worry	N	1-5	his worry over the prospect of being fired	it is not work but worry that kills
hold	V	0-2	hold these truths to be self - evident	He 's held by a contract
mean	V	1-2	I mean to go to Baddeck this summer .	I only meant to help you
give	V	0-1	give thought to	I gave him a punch in the nose
union	N	1-2	the union of opposing factions	the Soviet Union
section	N	1-7	a section of a fishing rod	she got a job in the historical section of the Treasury
catch	V	11-0	I have some free time tonight so I think I 'll catch a movie .	Catch a show on Broadway
post	N	2-8	this military post provides an important source of income for the town nearby	there is an officer 's club on the post
see	V	6-3	The artist must first learn to see	I want to see whether she speaks French
collector	N	4-8	He is an avid collector of nineteenth - century postage stamps .	That old piano is just a big dust collector .
make	V	3-5	She may not make the grade	Again , the cat had made on the expensive rug
take	V	4-2	This box wo n't take all the items	Do you take me for a fool ?
play	V	3-0	I had to play my queen	play the stock market
turn	V	0-2	turn your palm this way	the company turned a good profit after a year
run	N	4-6	the ship made its run in record time	The bus on the Cherry Street run is always crowded .
year	N	2-3	in the year 1920	she is 4 years old
push	V	3-1	You need to push quite hard to get this door open .	He pushed her to finish her doctorate
sell	V	4-2	The French try to sell us their image as great lovers	The brothers sell shoes
stuff	N	5-1	you do n't have the stuff to be a United States Marine	the stuff of heros
point	N	1-3	a point of information	get to the point
screen	V	0-0	screen a film	screen these samples
have	V	3-0	What do we have here ?	have a lover
run	N	4-3	He can have the run of the house .	he has the run of the house
drag	N	6-7	the waitresses looked like missionaries in drag	he went to the party dressed in drag
meet	V	3-4	Does this paper meet the requirements for the degree ?	The company agrees to meet the cost of any repairs .
court	N	1-6	The court is now in session .	The girls were playing in the court .
make	V	4-2	How much do you make a month in your new job ?	She was made president of the club
block	N	11-1	I knew his name perfectly well but I had a temporary block	A block of stone .
school	N	1-5	the school was built in 1932	Our children attend a public school in our neighborhood .
hold	V	0-0	hold these truths to be self - evident	Hold the bridge against the enemy 's attacks
development	N	4-5	they funded research and development	he congratulated them on their development of a plan to meet the emergency
make	V	0-3	make a decision	four and four make eight
carry	V	2-1	These pipes carry waste water into the river	Amanda carried the package .
cut	V	4-0	The employer wants to cut back health benefits	cut trenches
relate	V	5-3	I find it difficult to relate to others because i 'm extremely introverted .	I can not relate these events at all
get	V	3-3	She did n't get his name when they met the first time	The ice storm got my hibiscus
keep	V	0-0	keep a diary	Keep on working !
weakness	N	8-1	In a small number of horses , muscle weakness may progress to paralysis .	the weakness of the dollar against the yen
floor	N	7-1	Many sunken ships rest on the ocean floor .	the floor of the pelvis
allow	V	1-3	To allow a servant his liberty ;    to allow a free passage ;    to allow one day for rest	This short story allows of several different interpretations
take	V	0-3	take a pulse	A reading was taken of the earth 's tremors
hold	V	1-3	I hold with those who say life is sacred	Elections will be held on the first Sunday of next month .
absence	N	4-0	he visited during my absence	Absence makes the heart grow fonder .
cut	V	1-1	She cut the deck for a long time	Wayne cut
make	V	0-3	make a wall of stones	He did n't make the choir after his voice changed .
see	V	2-3	I can see a risk in this strategy	I ca n't see him on horseback !
strike	V	0-2	strike ` z ' on the keyboard	The pianist strikes a middle C
poise	V	1-1	To poise the scales of a balance	I poised the crowbar in my hand , and waited .
make	V	0-1	make advances	He made a fool of himself at the meeting
make	V	2-2	She 'll make a fine president .	He will make a splendid father !
hold	V	0-2	hold your breath	He can hold his liquor
follow	V	2-1	Let 's follow our great helmsman !	He followed his lecture with a question and answer period
business	N	4-2	show me where the business was today	Government and business could not agree
cut	V	0-0	cut class	cut recording tape
world	N	4-2	he sailed around the world	all the world loves a lover
blaze	V	0-1	blaze a trail	Meteors blazed across the atmosphere
degree	N	13-3	She has two bachelor 's degrees and is studying towards a master 's degree .	he earned his degree at Princeton summa cum laude
wash	V	3-1	he managed to wash out the stains	he washed the dirt from his coat
break	V	2-2	Let 's break for lunch .	His ribs broke under the weight of the rocks piled on his chest .
train	N	10-3	Unfortunately , the leading bridesmaid stepped on the bride 's train as they were walking down the aisle .	the bride 's train was carried by her two young nephews
finish	N	7-3	he applied a coat of a clear finish	The car 's finish was so shiny and new .
blow	V	5-16	certain insects are said to blow	There 's nothing more thrilling to the whale watcher than to see a whale surface and blow .
grain	N	3-6	there was a grain of truth in what he said	We stored a thousand tons of grain for the winter .
check	N	6-6	he paid all his bills by check	he asked the waiter for the check
box	N	6-4	an armed guard sat in the box with the driver	the flowchart contained many boxes
line	N	1-4	the line of soldiers advanced with their bayonets fixed	they were arrayed in line of battle
give	V	1-0	I give you two minutes to respond	Give one 's name
arrangement	N	1-2	the arrangement of the furniture	a flower arrangement
dozen	N	4-3	Can I have a dozen eggs , please ?	I ordered two dozen doughnuts .
formula	N	5-10	he gave us a general formula for attacking polynomials	X = \frac -b \pm \sqrtb^2 - 4ac2a is a formula for finding the roots of the quadratic equation ax2 + bx + c = 0 .
work	V	0-2	work your way through every problem or task	His fingers worked with tension
whole	N	1-4	the whole of American literature	Europe considered as a whole
brush	N	3-5	I had a brush with danger on my way to work	he tried to avoid any brushes with the police
time	N	1-4	the time is 10 o'clock	do you know what time it is ?
take	V	2-1	I 'll take that plate off the table .	I take aspirin every day to thin my blood .
set	N	7-1	his instructions deliberately gave them the wrong set	A set of tools
experience	N	3-4	It was an experience he would not soon forget .	he had a religious experience
turn	V	0-0	turn your palm this way	turn the heat down
develop	V	0-0	develop a passion for painting	develop the rook
mask	N	5-1	they moved in under a mask of friendship	no mask could conceal his ignorance
break	V	5-6	The horse was tough to break	He slipped on the ice and broke his leg .
vegetate	V	8-2	After a hard day 's work , I vegetate in front of the television	The fields vegetate vigorously
reach	V	2-2	Our advertisements reach millions	The sunlight reached the wall
break	V	0-2	break a law	Her voice broke to a whisper when she started to talk about her children
thing	N	6-4	I could n't tell what the thing was	to say the same thing in other terms
quality	N	1-14	the quality of mercy is not strained "-- Shakespeare	While being impulsive can be great for artists , it is not a desirable quality for engineers .
see	V	2-0	let 's see -- which movie should we see tonight ?	See whether you can come tomorrow
drop	N	3-2	he had a drop too much to drink	Put three drops of oil into the mixture .
space	N	5-8	it all happened in the space of 10 minutes	they tested his ability to locate objects in space
order	N	0-2	order ruled in the streets	law and order
look	V	3-2	You do n't look your age !	This project looks fishy
line	N	5-3	Please speak up , the line is very faint .	drop me a line when you get there
wall	N	2-1	the south wall had a small window	stomach walls
interrupt	V	2-1	Do n't interrupt me when I 'm reading	We interrupt the program for the following messages
beat	V	0-1	beat the egg whites	Reading beats watching television
claim	N	1-5	his claim on her attentions	evidence contradicted the government 's claims
hit	V	2-1	The thermometer hit 100 degrees	I hit the jackpot .
sophisticate	V	1-1	To sophisticate the understanding . — Southey .	To sophisticate wine . — Howell .
cut	V	6-4	The glass from the shattered windshield cut into her forehead	The new tooth is cutting
light	N	3-2	can you shed light on this problem ?	Put that light out !
know	V	2-1	Do you know my sister ?	I know him under a different name
butt	N	7-2	he deserves a good kick in the butt	Get your butt to the car .
stuff	N	5-16	the trunk was full of stuff	He did n't want his pockets to bulge so he was walking around with all his stuff in his hands .
block	V	0-0	block a nerve	block the wheels of a car
part	N	6-3	they resisted every effort on his part	glue the two parts together
softness	N	6-6	suddenly her gigantic power melted into softness for the baby	he attributes the disappointing results to softness in the economy
see	V	3-2	I want to see results	You 'll see a lot of cheating in this school
disk	N	3-2	the moon 's disk hung in a cloudless sky	Venus ' disk cut off light from the Sun .
hand	N	2-3	the big hand counts the minutes	on the one hand ... , but on the other hand ...
accent	N	8-11	The name Cézanne is written with an acute accent .	the room was decorated in shades of grey with distinctive red accents
appearance	N	5-4	it was Bernhardt 's last appearance in America	David Beckham 's first appearance with the LA Galaxy at Giants Stadium against the New York Red Bulls last night drew a crowd of 66237 .
sign	N	4-2	The hunters found deer sign at the end of the trail .	he showed signs of strain
raise	V	6-0	We visited a farm where they raise chickens .	raise a family
cut	V	0-3	cut grain	The football player cut to his left to evade a tackle .
crack	V	1-0	To crack a whip	crack a safe
run	V	0-5	run amok	I 'm not ready to run a marathon .
take	V	3-1	I do n't take sugar in my coffee	be taken drunk
run	V	0-6	run a new program on the Mac	My computer is too old to run the new OS .
connection	N	3-4	there was a connection between eating that pickle and having that nightmare	My headache has no connection with me going out last night .
take	V	0-0	take steps	take action
pull	N	5-5	Iron fillings drawn by the pull of a magnet	The spaceship came under the pull of the gas giant .
swing	V	0-2	swing forward	This action swung many votes over to his side
raise	V	0-8	raise a shout	Chew with your mouth shut — were you raised in a barn ?
demobilization	N	1-0	immediate demobilization of the reserves	demobilization of factories
head	N	1-5	a head of cauliflower	tickets are $ 5 per head
noise	N	9-4	during the firework display that ended the gala the noise reached 98 decibels	he enjoyed the street noises
drive	V	1-0	I drive to work every day .	drive a golf ball
way	N	4-2	if I had my way	Come this way and I 'll show you a shortcut .
tension	N	4-3	the direction of maximum tension moves asymptotically toward the direction of the shear	there is a tension between these approaches to understanding history
carry	V	1-1	I carry her image in my mind 's eye	I carry these thoughts in the back of my head
connection	N	1-4	The connection between overeating and obesity	My headache has no connection with me going out last night .
thread	N	1-8	a thread of smoke climbed upward	from the air the road was a grey thread
catch	V	2-4	did you catch a cold ?	The fashion did not catch
close	V	0-1	close up an umbrella	They closed the deal on the building
order	N	4-4	Magnolias belong to the order Magnoliales .	it was on the order of a mile
enter	V	0-0	enter a race	enter a drug treatment program
break	V	0-2	break a fall	The recession broke some small businesses .
nomination	N	1-6	his nomination was hotly protested	there was keen competition for the nomination
cast	V	0-0	cast a warm light	cast a vote
ability	N	4-4	This wood has the ability to fight off insects , fungus , and mold for a considerable time .	This phone has the ability to have its software upgraded wirelessly .
connection	N	1-1	the connection between church and state is inescapable	The connection between overeating and obesity
commercialization	N	7-4	both companies will retain control over the commercialization of their own products	my father considered the commercialization of Christmas to be a sacrilege
trend	N	1-1	the trend of the stock market	The trend of a coastline ;    the upward trend of stock - market prices
get	V	4-1	I just do n't get him	He got a girl into trouble
see	V	2-3	You should see a lawyer	We had to see a psychiatrist
session	N	2-2	a gossip session	A training session
gratification	N	3-5	to my immense gratification he arrived on time	dull repetitious work gives no gratification
rest	N	5-14	The ocean was finally at rest .	Now that we 're all in agreement , we can put that issue to rest .
organ	N	11-1	Georgie Fame plays all types of keyboards including electric piano , organ , and Hammond organ .	the organ of the communist party
foulness	N	4-3	mouths which speak such foulness must be cleansed	his display of foulness deserved severe punishment
mean	V	1-1	I mean no harm	I meant to take the car in for a smog check , but it slipped my mind .
interest	N	4-5	Victorian furniture is an interest of mine .	he counts reading among his interests
use	V	0-1	use your head !	I used to get things done .
develop	V	0-6	develop a market for the new mobile phone	Many countries in Asia are now developing at a very fast pace
action	N	6-2	the piano had a very stiff action	A rifle action
smell	V	0-1	smell out corruption	i smell trouble
raise	V	0-0	raise a mutiny	raise a family
grain	N	5-3	he does not have a grain of sense	there was a grain of truth in what he said
appear	V	3-2	He had to appear in court last month	Homo sapiens appeared millions of years ago
record	N	6-12	his name is in all the record books	Al Smith used to say , ` Let 's look at the record '
range	N	7-6	the plains lay just beyond the mountain range	We hiked through the Andes mountain range .
break	V	7-2	Is it your or my turn to break ?	Things began breaking bad for him when his parents died .
floor	N	7-1	Many sunken ships rest on the ocean floor .	the floor of the cave
note	N	14-3	I did n't have any coins to pay with , so I used a note .	he detected a note of sarcasm
connect	V	4-1	The new railroad will connect the northern part of the state to the southern part .	Herman connected the computers .
change	N	1-5	the change was intended to increase sales	this storm is certainly a change for the worse
fall	V	4-1	The hills around here fall towards the ocean	They fell out of favor
dogma	N	5-2	he believed all the Marxist dogma	The unforgiving dogma of Stalinism is that what the party leader , however cruel and incompetent , decrees , however absurd , must be accepted as law .
hand	N	3-6	give me a hand with the chores	he kept trying to see my hand
taste	N	5-7	the melon had a delicious taste	the candy left him with a bad taste
see	V	3-3	How nice to see you again !	I 'll probably see you at the meeting
forbid	V	2-2	The rules forbid our smoking .	The rules forbid us from smoking .
attack	N	3-1	his plan of attack was misguided	an attack on inflation
application	N	6-7	it is a job requiring serious application	December 31 is the deadline for MBA applications .
radiate	V	1-2	spokes radiate from the hub of the wheel	The heat radiates from a stove .
position	N	9-8	Stop running all over the field and play your position !	Chief of Staff is the second - highest position in the army .
break	V	8-1	My daughter 's fancy wedding is going to break me !	He broke the glass plate
trade	V	2-2	Will you trade your precious watch for my earring ?	The stock traded around $ 20 a share
leave	V	0-3	leave the room	She wants to leave
business	N	5-7	he bought his brother 's business	a small mom - and - pop business
art	N	1-6	an art exhibition	I was never any good at art
follow	V	7-0	When he lectures , I can not follow	follow the trail
resolution	N	3-1	Printing at higher resolution will cause a reduction in performance .	The resolution of an equation
order	N	2-4	law and order	The house is in order ; the machinery is out of order .
place	N	3-7	he overstepped his place	he put the lamp back in its place
case	N	3-2	it was a case of bad judgment	a typical case was the suburban housewife described by a marriage counselor
communication	N	6-3	they could not act without official communication from Moscow	Some say that communication is a necessary prerequisite for sentience ; others say that it is a result thereof .
set	V	0-0	set up an experiment	set the table
cut	V	2-0	The Vietnamese cut a lot of timber while they occupied Cambodia	Cut the engines when the plane comes to a halt !
machinery	N	1-2	the machinery of command labored and brought forth an order	the complex machinery of negotiation
way	N	2-7	Come this way and I 'll show you a shortcut .	he said he was looking for the way out
round	N	3-4	there was a round of applause	They brought us a round of drinks about every thirty minutes .
finish	N	7-2	he applied a coat of a clear finish	when the finish is too thin it is difficult to apply evenly
see	V	3-0	the doctor will see you now	see a movie
edge	N	4-3	she sat on the edge of the bed	the water 's edge
give	V	0-0	give priority to	Give one 's name
break	V	2-3	Can you break a hundred - dollar bill for me ?	I had to break a $ 100 bill just to buy the candy
skinful	N	10-12	I was n't thinking straight – I 'd had a skinful that night .	someone had to drive me home last night because I had a skinful
go	V	5-2	These ugly billboards have to go !	The day went well until I got your call
language	N	2-4	The English language ;    sign language	he recorded the spoken language of the streets
funny	N	3-3	she made a funny	she told a funny story
cut	V	3-2	The football player cut to his left to evade a tackle .	The car cut to the left at the intersection
shame	N	13-6	When I realized that I had hurt my friend , I felt deep shame .	The teenager could n't bear the shame of introducing his parents .
side	N	5-4	he was on the heavy side	Look on the bright side .
breath	N	2-3	his sour breath offended her	The child 's breath came quickly and unevenly .
head	N	1-6	12 head of big cattle and 14 head of branded calves	At five years of age this head of cattle is worth perhaps $ 40
patch	N	6-16	The world economy had a rough patch in the 1930s .	The storms last summer washed away parts of the road so we can expect some rough patches up ahead .
bear	V	0-0	bear news	bear a heavy load
shake	V	0-3	shake one 's head	The bad news shook her hopes
take	V	1-3	I take aspirin every day to thin my blood .	I do n't take sugar in my coffee
follow	V	0-0	follow the road	follow the trail
raise	V	0-6	raise my salary	We visited a farm where they raise chickens .
libido	N	3-19	For Freudians , libido means the desire to " unite and bind " with objects in the world .	The ego as an organ which seeks to synthesize thoughts in the psyche is said to be driven by libido or eros .
tolerate	V	13-2	I like the way he plays the guitar , but I ca n't tolerate his voice when he sings .	I can tolerate working on Saturdays , but not on Sundays .
formation	N	1-1	the formation of crystals	the formation of gas in the intestine
unit	N	1-2	a unit of wheat is a bushel	change per unit volume
